"","Years.of.Driving.Experience","Number.of.Vehicles","Gender.Dummy","Married.Dummy","Vehicle.Age","Fuel.Type.Dummy","Losses","Cluster"
"1",5,1,1,0,11,0,203,2
"2",10,1,0,1,6,0,402,4
"3",37,1,1,0,0,1,553,3
"4",31,1,0,0,15,0,292,2
"5",3,1,1,1,15,0,247,2
"6",8,1,1,0,9,0,385,2
"7",19,1,0,1,0,0,462,4
"8",49,1,0,0,15,0,169,1
"9",48,1,1,1,5,0,70,4
"10",0,1,0,1,14,0,243,2
"11",1,1,1,1,12,1,764,3
"12",8,1,0,1,14,0,407,2
"13",1,1,0,0,13,0,162,2
"14",49,1,1,0,7,0,243,1
"15",27,1,1,0,7,0,359,1
"16",40,1,1,0,15,0,315,1
"17",48,1,1,1,11,0,307,4
"18",1,1,1,1,15,1,773,3
"19",49,1,1,1,3,1,593,3
"20",45,1,1,0,0,0,275,1
"21",27,1,0,1,10,0,473,4
"22",0,1,1,1,15,1,877,3
"23",10,1,0,1,0,1,825,3
"24",49,1,0,1,6,0,273,4
"25",3,1,0,1,11,0,221,2
"26",16,1,1,1,13,0,169,4
"27",48,1,0,0,0,0,98,1
"28",22,1,1,0,3,1,680,3
"29",22,1,0,0,13,0,210,2
"30",2,1,0,0,8,0,354,2
"31",49,1,0,0,9,0,156,1
"32",12,1,1,0,4,1,671,3
"33",13,1,1,1,1,0,447,4
"34",47,1,1,0,5,0,109,1
"35",47,1,0,0,7,0,120,1
"36",30,1,1,1,10,0,455,4
"37",4,1,1,1,10,1,846,3
"38",32,1,1,1,13,0,274,4
"39",18,1,0,1,3,1,791,3
"40",14,1,0,1,6,0,355,4
"41",20,1,1,0,1,1,523,3
"42",47,1,1,1,0,0,347,4
"43",39,1,0,1,2,0,382,4
"44",6,1,1,1,12,1,748,3
"45",26,1,1,0,9,0,391,1
"46",29,1,1,0,12,0,330,1
"47",1,1,1,1,7,1,905,3
"48",19,1,0,1,9,0,387,4
"49",0,1,1,0,11,0,482,2
"50",12,1,1,0,15,0,178,2
"51",6,1,1,0,9,1,597,3
"52",36,1,1,1,9,0,449,4
"53",47,1,0,0,4,0,219,1
"54",41,1,0,0,8,0,228,1
"55",41,1,0,1,2,1,720,3
"56",0,1,1,1,8,1,951,3
"57",21,1,1,1,11,0,369,4
"58",1,1,0,0,14,0,191,2
"59",19,1,1,1,8,1,503,3
"60",0,1,1,0,15,0,265,2
"61",51,1,1,1,7,0,342,4
"62",3,1,0,0,15,0,205,2
"63",9,1,1,1,5,1,707,3
"64",10,1,0,1,3,1,865,3
"65",2,1,0,0,9,0,435,2
"66",3,1,1,1,4,1,1096,3
"67",2,1,1,0,12,0,373,2
"68",47,1,1,0,11,0,48,1
"69",25,1,0,1,13,0,447,4
"70",0,1,1,1,12,1,665,3
"71",4,1,1,0,14,0,317,2
"72",40,1,1,1,5,0,389,4
"73",4,1,0,1,13,0,406,2
"74",42,1,0,1,12,0,46,4
"75",0,1,1,0,14,0,355,2
"76",0,1,0,1,11,0,297,2
"77",43,1,0,1,4,0,217,4
"78",20,1,1,0,6,0,376,1
"79",48,1,1,1,15,0,26,4
"80",7,1,0,0,5,1,606,3
"81",42,1,1,1,11,0,351,4
"82",45,1,0,0,12,0,16,1
"83",8,1,1,1,5,1,739,3
"84",2,1,0,0,13,0,183,2
"85",3,1,1,0,13,0,311,2
"86",46,1,0,0,11,0,260,1
"87",17,1,0,0,7,0,322,2
"88",27,1,1,1,10,1,596,3
"89",42,1,1,0,13,0,162,1
"90",8,1,1,0,15,1,525,3
"91",30,1,0,0,6,0,330,1
"92",6,1,1,1,13,0,414,2
"93",23,1,1,0,1,1,593,3
"94",2,1,0,1,14,0,412,2
"95",16,1,0,1,7,0,395,4
"96",53,1,0,0,8,0,59,1
"97",27,1,1,1,0,1,575,3
"98",44,1,0,1,2,0,85,4
"99",29,1,1,1,8,1,552,3
"100",50,1,1,1,6,0,78,4
"101",34,1,1,0,9,0,314,1
"102",8,1,1,1,5,1,3500,3
"103",0,1,1,1,15,0,3250,3
"104",48,1,1,1,10,0,2850,3
"105",43,1,0,1,10,0,2535,3
"106",34,1,1,0,5,1,2852,3
"107",7,1,0,0,11,0,2879,3
"108",20,1,0,0,3,1,2814,3
"109",6,1,0,1,8,1,2879,3
"110",32,1,0,1,15,0,3462,3
"111",15,1,1,1,9,0,3333,3
"112",45,1,0,1,13,0,3227,3
"113",49,1,0,0,2,0,235,1
"114",45,1,0,0,3,0,61,1
"115",7,1,1,1,9,1,751,3
"116",38,1,0,0,10,0,315,1
"117",0,1,1,1,8,1,1197,3
"118",0,1,0,1,12,1,611,3
"119",1,1,1,1,13,1,868,3
"120",38,1,0,0,14,0,284,1
"121",33,1,1,0,11,0,143,1
"122",37,1,1,1,9,0,443,4
"123",5,1,1,1,15,1,1087,3
"124",3,1,1,0,1,1,682,3
"125",35,1,1,0,15,0,269,1
"126",16,1,1,0,0,0,430,1
"127",16,1,0,1,13,0,218,4
"128",40,1,0,0,9,0,288,1
"129",11,1,0,0,0,0,387,1
"130",2,1,0,1,15,0,233,2
"131",4,1,0,0,15,0,296,2
"132",13,1,0,1,9,0,382,4
"133",42,1,1,1,0,0,98,4
"134",25,1,0,1,3,0,427,4
"135",0,1,1,1,13,1,535,3
"136",1,1,0,0,15,0,323,2
"137",47,1,1,0,5,0,313,1
"138",52,1,0,0,12,0,29,1
"139",0,1,1,0,11,0,414,2
"140",30,1,1,1,9,0,397,4
"141",0,1,1,1,12,1,550,3
"142",5,1,0,1,2,1,768,3
"143",46,1,0,1,4,0,430,4
"144",49,1,0,1,13,0,58,4
"145",7,1,0,1,7,0,423,4
"146",8,1,1,1,15,0,299,2
"147",6,1,1,1,12,0,376,2
"148",18,1,0,1,9,0,429,4
"149",6,1,1,1,12,1,620,3
"150",46,1,0,1,6,0,357,4
"151",50,1,0,1,14,0,37,4
"152",5,1,1,1,2,1,514,3
"153",22,1,1,1,8,0,383,4
"154",1,1,1,0,10,1,776,3
"155",18,1,1,1,5,1,688,3
"156",2,1,1,0,13,0,250,2
"157",13,1,0,0,12,0,151,2
"158",50,1,0,1,7,0,97,4
"159",53,1,0,1,10,0,156,4
"160",7,1,1,1,7,1,1036,3
"161",5,1,0,1,10,0,466,2
"162",38,1,0,0,4,1,597,3
